==================================================
          LOG DE ANÁLISIS LÉXICO (DART)
==================================================
Desarrollador: Manuel Matute (ManuelMatute)
Fecha y Hora:  28/06/2026 20:14:00
Archivo Origen: algoritmo2.dart
--------------------------------------------------
Tokens detectados: 260
Errores léxicos:   0
--------------------------------------------------
TIPO TOKEN           | LEXEMA                    | LÍNEA | POSICIÓN
ID                   | 'String'                  | 28    | 899     
ID                   | 'cod'                     | 28    | 906     
ASSIGN               | '='                       | 28    | 910     
ID                   | 'stdin'                   | 28    | 912     
DOT                  | '.'                       | 28    | 917     
ID                   | 'readLineSync'            | 28    | 918     
LPAREN               | '('                       | 28    | 930     
RPAREN               | ')'                       | 28    | 931     
NOT                  | '!'                       | 28    | 932     
SEMICOLON            | ';'                       | 28    | 933     
IF                   | 'if'                      | 29    | 937     
LPAREN               | '('                       | 29    | 940     
ID                   | 'inventario'              | 29    | 941     
DOT                  | '.'                       | 29    | 951     
ID                   | 'containsKey'             | 29    | 952     
LPAREN               | '('                       | 29    | 963     
ID                   | 'cod'                     | 29    | 964     
RPAREN               | ')'                       | 29    | 967     
RPAREN               | ')'                       | 29    | 968     
LBRACE               | '{'                       | 29    | 970     
ID                   | 'stdout'                  | 30    | 976     
DOT                  | '.'                       | 30    | 982     
ID                   | 'write'                   | 30    | 983     
LPAREN               | '('                       | 30    | 988     
CADENA               | "'Nueva cantidad: '"      | 30    | 989     
RPAREN               | ')'                       | 30    | 1007    
SEMICOLON            | ';'                       | 30    | 1008    
ID                   | 'inventario'              | 31    | 1014    
LBRACKET             | '['                       | 31    | 1024    
ID                   | 'cod'                     | 31    | 1025    
RBRACKET             | ']'                       | 31    | 1028    
ASSERT_DOT           | '!.'                      | 31    | 1029    
ID                   | 'cantidad'                | 31    | 1031    
ASSIGN               | '='                       | 31    | 1040    
ID                   | 'int'                     | 31    | 1042    
DOT                  | '.'                       | 31    | 1045    
ID                   | 'parse'                   | 31    | 1046    
LPAREN               | '('                       | 31    | 1051    
ID                   | 'stdin'                   | 31    | 1052    
DOT                  | '.'                       | 31    | 1057    
ID                   | 'readLineSync'            | 31    | 1058    
LPAREN               | '('                       | 31    | 1070    
RPAREN               | ')'                       | 31    | 1071    
NOT                  | '!'                       | 31    | 1072    
RPAREN               | ')'                       | 31    | 1073    
SEMICOLON            | ';'                       | 31    | 1074    
ID                   | 'print'                   | 32    | 1080    
LPAREN               | '('                       | 32    | 1085    
CADENA               | "'Actualizado.'"          | 32    | 1086    
RPAREN               | ')'                       | 32    | 1100    
SEMICOLON            | ';'                       | 32    | 1101    
RBRACE               | '}'                       | 33    | 1105    
ELSE                 | 'else'                    | 33    | 1107    
LBRACE               | '{'                       | 33    | 1112    
ID                   | 'print'                   | 33    | 1114    
LPAREN               | '('                       | 33    | 1119    
CADENA               | "'No encontrado.'"        | 33    | 1120    
RPAREN               | ')'                       | 33    | 1136    
SEMICOLON            | ';'                       | 33    | 1137    
RBRACE               | '}'                       | 33    | 1139    
ID                   | 'mostrarInventario'       | 34    | 1143    
LPAREN               | '('                       | 34    | 1160    
ID                   | 'inventario'              | 34    | 1161    
RPAREN               | ')'                       | 34    | 1171    
SEMICOLON            | ';'                       | 34    | 1172    
RBRACE               | '}'                       | 35    | 1174    
