==================================================
          LOG DE ANÁLISIS LÉXICO (DART)
==================================================
Desarrollador: Xavier Camacho (Xavih830)
Fecha y Hora:  28/06/2026 20:13:00
Archivo Origen: algoritmo1.dart
--------------------------------------------------
Tokens detectados: 287
Errores léxicos:   0
--------------------------------------------------
TIPO TOKEN           | LEXEMA                    | LÍNEA | POSICIÓN
ID                   | 'fin'                     | 23    | 630     
ASSIGN               | '='                       | 23    | 637     
ID                   | 'medio'                   | 23    | 639     
MINUS                | '-'                       | 23    | 645     
NUM_ENTERO           | 1                         | 23    | 647     
SEMICOLON            | ';'                       | 23    | 648     
RBRACE               | '}'                       | 24    | 652     
RETURN               | 'return'                  | 25    | 656     
MINUS                | '-'                       | 25    | 663     
NUM_ENTERO           | 1                         | 25    | 664     
SEMICOLON            | ';'                       | 25    | 665     
RBRACE               | '}'                       | 26    | 667     
VOID                 | 'void'                    | 28    | 671     
ID                   | 'main'                    | 28    | 676     
LPAREN               | '('                       | 28    | 680     
RPAREN               | ')'                       | 28    | 681     
LBRACE               | '{'                       | 28    | 683     
ID                   | 'List'                    | 29    | 687     
LT                   | '<'                       | 29    | 691     
ID                   | 'int'                     | 29    | 692     
GT                   | '>'                       | 29    | 695     
ID                   | 'numeros'                 | 29    | 697     
ASSIGN               | '='                       | 29    | 705     
LBRACKET             | '['                       | 29    | 707     
NUM_ENTERO           | 64                        | 29    | 708     
COMA                 | ','                       | 29    | 710     
NUM_ENTERO           | 34                        | 29    | 712     
COMA                 | ','                       | 29    | 714     
NUM_ENTERO           | 25                        | 29    | 716     
COMA                 | ','                       | 29    | 718     
NUM_ENTERO           | 12                        | 29    | 720     
COMA                 | ','                       | 29    | 722     
NUM_ENTERO           | 22                        | 29    | 724     
COMA                 | ','                       | 29    | 726     
NUM_ENTERO           | 11                        | 29    | 728     
COMA                 | ','                       | 29    | 730     
NUM_ENTERO           | 90                        | 29    | 732     
RBRACKET             | ']'                       | 29    | 734     
SEMICOLON            | ';'                       | 29    | 735     
ID                   | 'print'                   | 30    | 739     
LPAREN               | '('                       | 30    | 744     
CADENA               | "'Lista original: $numeros'" | 30    | 745     
RPAREN               | ')'                       | 30    | 771     
SEMICOLON            | ';'                       | 30    | 772     
ID                   | 'List'                    | 31    | 776     
LT                   | '<'                       | 31    | 780     
ID                   | 'int'                     | 31    | 781     
GT                   | '>'                       | 31    | 784     
ID                   | 'ordenada'                | 31    | 786     
ASSIGN               | '='                       | 31    | 795     
ID                   | 'bubbleSort'              | 31    | 797     
LPAREN               | '('                       | 31    | 807     
ID                   | 'numeros'                 | 31    | 808     
RPAREN               | ')'                       | 31    | 815     
SEMICOLON            | ';'                       | 31    | 816     
ID                   | 'print'                   | 32    | 820     
LPAREN               | '('                       | 32    | 825     
CADENA               | "'Lista ordenada: $ordenada'" | 32    | 826     
RPAREN               | ')'                       | 32    | 853     
SEMICOLON            | ';'                       | 32    | 854     
ID                   | 'stdout'                  | 33    | 858     
DOT                  | '.'                       | 33    | 864     
ID                   | 'write'                   | 33    | 865     
LPAREN               | '('                       | 33    | 870     
CADENA               | "'Numero a buscar: '"     | 33    | 871     
RPAREN               | ')'                       | 33    | 890     
SEMICOLON            | ';'                       | 33    | 891     
ID                   | 'int'                     | 34    | 895     
ID                   | 'objetivo'                | 34    | 899     
ASSIGN               | '='                       | 34    | 908     
ID                   | 'int'                     | 34    | 910     
DOT                  | '.'                       | 34    | 913     
ID                   | 'parse'                   | 34    | 914     
LPAREN               | '('                       | 34    | 919     
ID                   | 'stdin'                   | 34    | 920     
DOT                  | '.'                       | 34    | 925     
ID                   | 'readLineSync'            | 34    | 926     
LPAREN               | '('                       | 34    | 938     
RPAREN               | ')'                       | 34    | 939     
NOT                  | '!'                       | 34    | 940     
RPAREN               | ')'                       | 34    | 941     
SEMICOLON            | ';'                       | 34    | 942     
ID                   | 'int'                     | 35    | 946     
ID                   | 'indice'                  | 35    | 950     
ASSIGN               | '='                       | 35    | 959     
ID                   | 'busquedaBinaria'         | 35    | 961     
LPAREN               | '('                       | 35    | 976     
ID                   | 'ordenada'                | 35    | 977     
COMA                 | ','                       | 35    | 985     
ID                   | 'objetivo'                | 35    | 987     
RPAREN               | ')'                       | 35    | 995     
SEMICOLON            | ';'                       | 35    | 996     
ID                   | 'print'                   | 36    | 1000    
LPAREN               | '('                       | 36    | 1005    
ID                   | 'indice'                  | 36    | 1006    
NE                   | '!='                      | 36    | 1013    
MINUS                | '-'                       | 36    | 1016    
NUM_ENTERO           | 1                         | 36    | 1017    
QMARK                | '?'                       | 36    | 1019    
CADENA               | "'Indice: $indice'"       | 36    | 1021    
COLON                | ':'                       | 36    | 1039    
CADENA               | "'No encontrado'"         | 36    | 1041    
RPAREN               | ')'                       | 36    | 1056    
SEMICOLON            | ';'                       | 36    | 1057    
RBRACE               | '}'                       | 37    | 1059    
